step,time,desired_Fx,desired_Fy,desired_Fz,desired_Mx,desired_My,desired_Mz,command_wrench_Fx,command_wrench_Fy,command_wrench_Fz,command_wrench_Mx,command_wrench_My,command_wrench_Mz,applied_wrench_Fx,applied_wrench_Fy,applied_wrench_Fz,applied_wrench_Mx,applied_wrench_My,applied_wrench_Mz,allocation_residual_Fx,allocation_residual_Fy,allocation_residual_Fz,allocation_residual_Mx,allocation_residual_My,allocation_residual_Mz,motor_force_cmd_1,motor_force_cmd_2,motor_force_cmd_3,motor_force_cmd_4,motor_force_cmd_5,motor_force_cmd_6,omega_cmd_1,omega_cmd_2,omega_cmd_3,omega_cmd_4,omega_cmd_5,omega_cmd_6,omega_actual_1,omega_actual_2,omega_actual_3,omega_actual_4,omega_actual_5,omega_actual_6,motor_force_applied_1,motor_force_applied_2,motor_force_applied_3,motor_force_applied_4,motor_force_applied_5,motor_force_applied_6,qpos_x,qpos_y,qpos_z,qpos_qw,qpos_qx,qpos_qy,qpos_qz,qvel_x,qvel_y,qvel_z,qvel_wx,qvel_wy,qvel_wz
0,0.0,-1.9941252318116104e-16,0.25244129544236893,10.193543502198176,0.011985638465105131,0.02493737466510139,0.008977082161559348,-5.075676268173623e-10,0.2524412944137695,10.193543499666287,0.011985642370447969,0.02493737210019681,0.008977081719438895,-4.979580914277193e-10,0.25244129442857854,10.193543499666285,0.01198564229631116,0.02493737214830785,0.008977081719444113,-5.075674274048392e-10,-1.028599427854715e-09,-2.531889364831841e-09,3.9053428373125865e-09,-2.564904580393268e-09,-4.421204530952183e-10,2.292607043033821,2.002105236340356,1.9075281793482168,2.3871841010477737,2.099032180222761,1.755562133834194,1053.9890659382484,984.9512714601473,961.4058836189032,1075.5095005189041,1008.511472121673,922.315265533319,1053.9890659965267,984.9512714022801,961.4058834833927,1075.5095006397976,1008.5114721899585,922.3152654541302,2.2926070432873518,2.0021052361051037,1.9075281788104832,2.387184101584441,2.0990321805070082,1.7555621335327336,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.002,0.001168669511271883,0.2533942260198356,10.19306087378686,0.01208751779912685,0.024946154967023848,0.00889684728419438,0.0011686723142912137,0.2533942276950536,10.193060869883082,0.012087522011664242,0.024946152378468922,0.008896846621777255,-4.986965007613975e-10,0.2524412944274397,10.193543499666283,0.011985642302011046,0.024937372144608838,0.00897708171944378,2.8030193307496815e-09,1.6752180198587041e-09,-3.903778633684851e-09,4.212537391828919e-09,-2.588554925964104e-09,-6.624171246250032e-10,2.292880895661974,2.003365147889938,1.9057464243878546,2.388146896030788,2.099555871264981,1.7537344564164723,1054.0520137202677,985.2611343711814,960.956771013808,1075.726364975095,1008.6372718809271,921.835039367045,1053.989065992046,984.9512714067291,961.4058834938112,1075.5095006305028,1008.5114721847084,922.3152654602185,2.2926070432678594,2.0021052361231906,1.9075281788518257,2.387184101543179,2.099032180485154,1.7555621335559108,1.984722977430089e-11,5.939694679955249e-07,2.00002398478966,0.9999999999960721,1.1984835834136253e-06,2.4935713324752375e-06,4.488391245427927e-07,3.969362562556924e-08,0.0005939596536048945,0.023984780491608966,0.002396885778594062,0.004986977149472399,0.0008976632880319417
2,0.004,0.0023373212874178697,0.25433831743932145,10.192575211034502,0.012189135821048405,0.02495427306754315,0.008816217762381041,0.0023373240843261034,0.2543383190867383,10.192575207122221,0.012189140041494573,0.024954270452513194,0.00881621710284225,8.986212836983865e-05,0.25251456544923734,10.193506321931284,0.011993474600394322,0.024938047111169398,0.008970914250754414,2.796908233661244e-09,1.6474168695879143e-09,-3.912280277518221e-09,4.220446167893521e-09,-2.6150299564653423e-09,-6.595387916363826e-10,2.293144826290646,2.004628587599954,1.9039698605406672,2.389098148442248,2.1000790518539074,1.7519163321674196,1054.1126772736834,985.5717671685109,960.5087578125082,1075.9405866004856,1008.7629333551853,921.3570749738143,1053.9939056416822,984.9750947952059,961.3713540975673,1075.5261739478096,1008.5211441215872,922.2783439365553,2.2926280974527162,2.0022020886458036,1.9073911615635764,2.387258117786631,2.099072441413594,1.7554215813306424,3.8941618082112723e-10,2.3758196325268903e-06,2.000095939056503,0.9999999999371613,4.793872024748164e-06,9.973647676505903e-06,1.7951918398856895e-06,4.2467104708723485e-07,0.00118789028303416,0.04796946306850311,0.004794067951343025,0.00997303399981289,0.0017949243390487446
3,0.006,0.0035059375935808036,0.2552735367680587,10.192086517998145,0.012290490334056582,0.02496172875116245,0.008735197172666421,0.003505940384366052,0.2552735383876483,10.192086514077374,0.012290494562189808,0.024961726109784865,0.008735196516019728,0.00026269485631671974,0.2526548044415031,10.193434471313727,0.012008515860040286,0.024939294114080718,0.008959025343277527,2.790785248295985e-09,1.6195896290760459e-09,-3.920771263210554e-09,4.228133225481212e-09,-2.641377585405058e-09,-6.566466936169801e-10,2.293398817335863,2.005895542086082,1.9021985261011702,2.3900378180454127,2.100601731745513,1.7501077875299467,1054.1710529515653,985.8831658352584,960.0618552179607,1076.1521579147293,1008.8884589389455,920.8813828323445,1054.0030372354956,985.0209691311974,961.3050345668228,1075.5580354954839,1008.5397337547552,922.2075134375643,2.2926678233735758,2.0023885945396716,1.9071280105489792,2.3873995608622254,2.0991498247119704,1.7551519607484416,2.243319366285305e-09,5.34554482186057e-06,2.0002158625220563,0.9999999996819011,1.0787214729011233e-05,2.2439377123122186e-05,4.038355132257992e-06,1.5962645755445388e-06,0.001781841784640181,0.07195396606648119,0.007193031719279942,0.014958303885674235,0.002691189078519113
4,0.008,0.004674500695442003,0.2561998513827651,10.19159479876015,0.01239157914703481,0.02496852181996892,0.008653789108944498,0.00467450348005774,0.25619985297445624,10.191594794830898,0.012391583382731136,0.024968519152297197,0.008653788455233014,0.000512129320953042,0.25285618800658627,10.1933302895211,0.012030190693456483,0.024941018183094715,0.008941826452274149,2.7846157367797386e-09,1.5916911677571477e-09,-3.929251590761851e-09,4.2356963266682035e-09,-2.6676717224116686e-09,-6.537114842497527e-10,2.2936428507477102,2.0071659942494033,1.9004324641227939,2.390965862340091,2.101123919317852,1.7483088537052347,1054.2271369858317,986.195325445269,959.616075651659,1076.3610709143413,1009.0138506946028,920.407974678749,1054.015954893084,985.0872579407056,961.2094544298851,1075.6037137817593,1008.5665450116257,922.1055557072013,2.292724020705734,2.0026581125024774,1.9067487875388953,2.3876023479414688,2.099261434778224,1.7547638888330148,7.5829872665537e-09,9.503224645488132e-06,2.000383754750257,0.9999999989946826,1.918098544841648e-05,3.989003107758148e-05,7.177053595195657e-06,3.98016577363839e-06,0.0023758497209920857,0.09593821349379265,0.00959514223587506,0.01994290033230688,0.0035859063395913987
5,0.01,0.0058429928594901865,0.25711722897078143,10.191100057428155,0.012492400074610503,0.024974652093638992,0.008571997182296743,0.005842995637902387,0.2571172305345304,10.191100053490432,0.012492404317712258,0.024974649399729043,0.00857199653154872,0.0008322816156444424,0.2531133358185016,10.193195962531089,0.012057967925201502,0.02494313168636003,0.008919697232662782,2.7784122008309153e-09,1.5637489636510793e-09,-3.937723036528951e-09,4.2431017553690165e-09,-2.6939099492806484e-09,-6.507480231759954e-10,2.293876908852339,2.008439926806639,1.8986717174675507,2.3918822392074928,2.1016456229271068,1.7465195615655054,1054.2809256806956,986.5082410315774,959.1714315059226,1076.56731766823,1009.1391106782218,919.9368621697106,1054.0321913382616,985.1724501890479,961.0869496907613,1075.661942144794,1008.6009354947616,921.9750395211734,2.292794657159415,2.003004514962304,1.9062627938220553,2.387860863113263,2.0994046000382403,1.7542671802285446,1.9246589748135814e-08,1.4848996364596921e-05,2.0005996151584062,0.9999999975456028,2.9978966889600624e-05,6.232498524950607e-05,1.12094805775895e-05,7.98761275277133e-06,0.002969936345399219,0.11992213464268978,0.012001653860900099,0.024926918587843017,0.004478564542207876
6,0.012,0.0070113963532905865,0.2580256375311994,10.190602298135046,0.012592950937202307,0.024980119409443145,0.00848982502083194,0.007011399125462253,0.25802563906696663,10.190602294188867,0.012592955187496757,0.02498011668938324,0.008489824373042965,0.0012177157551611917,0.25342127698389305,10.19303352817795,0.012091357173099615,0.02494555375594576,0.008892988066995122,2.7721716666997964e-09,1.5357672356053342e-09,-3.946178495084496e-09,4.2502944497258e-09,-2.7200599030108297e-09,-6.477889752387611e-10,2.2941009743522263,2.0097173222906894,1.89691632880561,2.3927869069110437,2.102166850906592,1.7447399416538034,1054.3324154126267,986.8219075866433,958.7279351435751,1076.7708903176137,1009.2642409393052,919.4680568819279,1054.0513149365845,985.2751506334897,960.939677705765,1075.731550698531,1008.6423123546481,921.818337054603,2.292877855532634,2.003422147786032,1.9056786269136228,2.388169921029674,2.0995768555829963,1.7536709067482095,4.0881240949022256e-08,2.138302923277699e-05,2.0008634430273635,0.9999999949103703,4.3186144197993684e-05,8.974370212195518e-05,1.6133336119577293e-05,1.4016487585485512e-05,0.0035641115487167465,0.14390566371924865,0.01441371869614571,0.029910437035274594,0.005368688637465122
7,0.014,0.008179693445754053,0.25892504537597727,10.190101525038918,0.012693229561067242,0.02498492362225023,0.008407276269525251,0.008179696211647741,0.25892504688369034,10.190101521084298,0.012693233818473593,0.024984920876085698,0.008407275624781163,0.0016634098314825263,0.25377541892298017,10.192844883871008,0.012129905695067694,0.024948209759599854,0.008862022385670354,2.765893687695087e-09,1.5077130655072324e-09,-3.954619742785326e-09,4.257406351071413e-09,-2.7461645318860306e-09,-6.44744087979765e-10,2.294315030326505,2.0109981630512106,1.8951663406157189,2.3936798240962864,2.102687611565787,1.7429700241836612,1054.381602630328,987.1363200625945,958.2855988978362,1076.971781075733,1009.3892435205677,919.001570311533,1054.0729269606404,985.3940709176201,960.7696309163308,1075.8114588977844,1008.6901284797642,921.637638991245,2.2929718817696645,2.003905793210033,1.905004233156018,2.388524733428025,2.099775927162761,1.7529834526904375,7.691731493465996e-08,2.9105500657752533e-05,2.0011752375110197,0.9999999905701757,5.880860663260558e-05,0.00012214571478261937,2.1945861933601997e-05,2.2452330719714643e-05,0.004158373734495667,0.16788873949173708,0.01683239446109798,0.03489351849383088,0.006255837294519947
8,0.016,0.00934786640740613,0.25981542113104583,10.189597742323043,0.012793233778347658,0.024989064604531312,0.008324354590056524,0.00934786916698252,0.25981542261067225,10.189597738359993,0.012793238042635519,0.02498906183232258,0.008324353948352625,0.002164724672853696,0.2541715185871194,10.19263179432404,0.012173195480758348,0.0249510308148507,0.00882709879745508,2.7595763903154324e-09,1.4796264213856603e-09,-3.963050332345119e-09,4.264287860322735e-09,-2.7722087334036694e-09,-6.417038983519419e-10,2.294519060232922,2.012282431253624,1.8934217951801753,2.394560949796346,2.1032079131894053,1.7412098390386104,1054.428483855092,987.4514733710871,957.8444350708314,1077.16998222882,1009.5141204577197,918.5374138734674,1054.0966590655898,985.5280213504426,960.5786495259928,1075.900668674927,1008.7438789795584,921.4349684710063,2.2930751339461377,2.0044506357263243,1.904246956520055,2.3889208782953038,2.099999716430585,1.7522125661944636,1.3254471231051163e-07,3.80165740462726e-05,2.001534997645086,0.9999999839115292,7.685345679854848e-05,0.00015953061200977363,2.8643873666380174e-05,3.3669278503178885e-05,0.004752710627855566,0.19187130495762558,0.019258651759860017,0.03987621141862205,0.007139600310159831
9,0.018000000000000002,0.010515897510656097,0.2606967337374022,10.189090954195834,0.012892961427118139,0.02499254224636307,0.008241063660647868,0.01051590026389329,0.2606967351888825,10.189090950224367,0.012892965698161646,0.024992539448248835,0.008241063021984685,0.0027173748291631494,0.2546056558421528,10.192395899200584,0.012220840568820501,0.024953953341927015,0.008788493046624934,2.7532371937866174e-09,1.4514802693099682e-09,-3.971466711050198e-09,4.271043506712258e-09,-2.798114233371063e-09,-6.386631831029055e-10,2.294713047906383,2.013570108881396,1.8916827345870801,2.3954302434299164,2.1037277640375414,1.739459415770907,1054.4730556803731,987.7673623839672,957.4044559339416,1077.3654861353846,1009.6388737795093,918.0755989006501,1054.1221709588247,985.6759033175091,960.3684332025955,1075.9982581043273,1008.8030979378085,921.2121939650829,2.2931861321082674,2.005052230680642,1.9034135838601263,2.3893542714613307,2.1002462873361143,1.7513654068940594,2.136909297596389e-07,4.81163782046563e-05,2.0019427223552335,0.9999999742260716,9.73287268536908e-05,0.00020189802451426914,3.622379065811066e-05,4.803092949675612e-05,0.005347100023066807,0.2158533070290909,0.021693380786585184,0.04485855100667431,0.008019596222876289
