step,time,desired_Fx,desired_Fy,desired_Fz,desired_Mx,desired_My,desired_Mz,command_wrench_Fx,command_wrench_Fy,command_wrench_Fz,command_wrench_Mx,command_wrench_My,command_wrench_Mz,applied_wrench_Fx,applied_wrench_Fy,applied_wrench_Fz,applied_wrench_Mx,applied_wrench_My,applied_wrench_Mz,allocation_residual_Fx,allocation_residual_Fy,allocation_residual_Fz,allocation_residual_Mx,allocation_residual_My,allocation_residual_Mz,motor_force_cmd_1,motor_force_cmd_2,motor_force_cmd_3,motor_force_cmd_4,motor_force_cmd_5,motor_force_cmd_6,omega_cmd_1,omega_cmd_2,omega_cmd_3,omega_cmd_4,omega_cmd_5,omega_cmd_6,omega_actual_1,omega_actual_2,omega_actual_3,omega_actual_4,omega_actual_5,omega_actual_6,motor_force_applied_1,motor_force_applied_2,motor_force_applied_3,motor_force_applied_4,motor_force_applied_5,motor_force_applied_6,qpos_x,qpos_y,qpos_z,qpos_qw,qpos_qx,qpos_qy,qpos_qz,qvel_x,qvel_y,qvel_z,qvel_wx,qvel_wy,qvel_wz
0,0.0,-1.9941252318116104e-16,0.25244129544236893,10.193543502198176,0.011985638465105131,0.02493737466510139,0.008977082161559348,-2.525757381022231e-15,0.25244129544236915,10.193543502198175,0.011985638465105086,0.024937374665101514,0.008977082161559291,-2.3037127760972e-15,0.2524412954423687,10.193543502198171,0.011985638465105086,0.024937374665101486,0.008977082161559236,-2.32634485784107e-15,2.220446049250313e-16,-1.7763568394002505e-15,-4.5102810375396984e-17,1.249000902703301e-16,-5.724587470723463e-17,2.292607058402295,2.002105223110844,1.9075281525347532,2.38718412897839,2.099032197013204,1.7555621168784996,1053.9890694709522,984.9512682059665,961.4058768618282,1075.5095068107612,1008.511476155283,922.3152610793336,1053.9890694709522,984.9512682059665,961.4058768618282,1075.5095068107612,1008.511476155283,922.3152610793336,2.2926070584022944,2.002105223110844,1.9075281525347527,2.3871841289783897,2.099032197013204,1.7555621168784994,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.002,0.001168669511271883,0.2533942260198356,10.19306087378686,0.01208751779912685,0.024946154967023848,0.00889684728419438,0.0011686695112706202,0.2533942260198343,10.193060873786862,0.01208751779912709,0.024946154967024375,0.008896847284193932,-2.3037127760972e-15,0.2524412954423687,10.193543502198171,0.011985638465105086,0.024937374665101486,0.008977082161559236,-1.2626618500766185e-15,-1.27675647831893e-15,1.7763568394002505e-15,2.393918396847994e-16,5.273559366969494e-16,-4.475586568020162e-16,2.2928809101821725,2.00336513116327,1.9057464023694084,2.388146921485691,2.0995558868395143,1.7537344443775884,1054.0520170577818,985.261130258068,960.9567654624988,1075.7263707080988,1008.6372756219694,921.8350362029785,1053.9890694709522,984.9512682059665,961.4058768618282,1075.5095068107612,1008.511476155283,922.3152610793336,2.2926070584022944,2.002105223110844,1.9075281525347527,2.3871841289783897,2.099032197013204,1.7555621168784994,1.984840403746237e-11,5.939694703848828e-07,2.000023984789666,0.9999999999960721,1.1984832001247363e-06,2.4935715842634446e-06,4.4883914664781706e-07,3.969480219219274e-08,0.0005939596559977612,0.02398478049756618,0.0023968850118515233,0.0049869776531552236,0.0008976633322412605
2,0.004,0.0023373212874178697,0.25433831743932145,10.192575211034502,0.012189135821048405,0.02495427306754315,0.008816217762381041,0.002337321287417954,0.254338317439321,10.192575211034498,0.012189135821048414,0.02495427306754336,0.008816217762380785,8.986237317368251e-05,0.2525145662573087,10.193506324569004,0.01199347073461221,0.02493804963689325,0.008970914709799827,8.413408858487514e-17,-4.440892098500626e-16,-3.552713678800501e-15,8.673617379884035e-18,2.0816681711721685e-16,-2.5673907444456745e-16,2.2931448408024355,2.004628570907461,1.9039698383716521,2.3890981740611807,2.100079067567866,1.7519163199602528,1054.1126806090726,985.571763065095,960.5087522206304,1075.9405923692836,1008.7629371292477,921.3570717638552,1053.9939091097176,984.9750915242984,961.3713475486704,1075.5261800936817,1008.5211480745146,922.2783396492239,2.292628112539929,2.0022020753479692,1.9073911355771394,2.3872581450696178,2.0990724578683424,1.755421565010029,3.894207007040845e-10,2.375819641958289e-06,2.000095939056527,0.9999999999371613,4.793870490145689e-06,9.973648684135705e-06,1.7951919285905852e-06,4.2467312256328157e-07,0.001187890287611366,0.04796946308054281,0.004794066414520294,0.009973035007970369,0.0017949244283207405
3,0.006,0.0035059375935808036,0.2552735367680587,10.192086517998145,0.012290490334056582,0.02496172875116245,0.008735197172666421,0.0035059375935801163,0.255273536768059,10.192086517998142,0.012290490334056714,0.024961728751162426,0.008735197172666187,0.0002626948671941298,0.2526548050607387,10.193434474050049,0.012008511966997343,0.024939296646666914,0.00895902581772462,-6.873841773558098e-16,2.7755575615628914e-16,-3.552713678800501e-15,1.3183898417423734e-16,-2.42861286636753e-17,-2.3418766925686896e-16,2.2933988318384833,2.0058955254285493,1.9021985037830154,2.3900378438269514,2.1006017475981067,1.7501077751552554,1054.1710562846627,985.8831617417299,960.0618495858438,1076.152163719001,1008.8884627458306,920.8813795766528,1054.0030406933327,985.0209657962836,961.3050280915049,1075.558041612365,1008.5397376939308,922.2075092330653,2.2926678384165524,2.002388580980989,1.9071279848562814,2.387399588017319,2.099149841109777,1.7551519447443757,2.243328492525077e-09,5.345544842297879e-06,2.000215862522111,0.9999999996819011,1.0787211270257015e-05,2.2439379391594234e-05,4.038355333443736e-06,1.5962670247218939e-06,0.0017818417910101633,0.07195396608484195,0.007193029406914627,0.014958305399412354,0.0026911892144647473
4,0.008,0.004674500695442003,0.2561998513827651,10.19159479876015,0.01239157914703481,0.02496852181996892,0.008653789108944498,0.004674500695440981,0.256199851382765,10.19159479876015,0.012391579147034898,0.024968521819969225,0.00865378910894421,0.0005121291163477093,0.252856188453634,10.193330292349257,0.012030186774660473,0.02494102072403892,0.008941826940712772,-1.0226194890883278e-15,-5.551115123125783e-17,0.0,8.847089727481716e-17,3.0531133177191805e-16,-2.8796409701215e-16,2.293642865240649,2.0071659776274267,1.900432441656056,2.390965888283667,2.10112393530866,1.748308841163356,1054.2271403165266,986.1953213617712,959.6160699794125,1076.3610767539594,1009.0138545342019,920.4079713773745,1054.0159583413306,985.0872545474667,961.2094480193956,1075.603719874606,1008.5665489406304,922.10555157565,2.2927240357071725,2.0026580987057354,1.9067487621059513,2.3876023749910127,2.099261451134126,1.7547638731083572,7.583001279490065e-09,9.503224680190523e-06,2.000383754750355,0.9999999989946826,1.9180979287367014e-05,3.989003511315954e-05,7.177053956279873e-06,3.980168140742197e-06,0.002375849728841207,0.09593821351869566,0.009595139142815241,0.019942902353041463,0.003585906523674628
5,0.01,0.0058429928594901865,0.25711722897078143,10.191100057428155,0.012492400074610503,0.024974652093638992,0.008571997182296743,0.005842992859488333,0.2571172289707808,10.191100057428152,0.012492400074610471,0.024974652093639332,0.008571997182296565,0.0008322812125935164,0.2531133361087414,10.193195965444767,0.01205796398205361,0.024943134237039505,0.008919697733788867,-1.8535520340812184e-15,-6.106226635438361e-16,-3.552713678800501e-15,-3.122502256758253e-17,3.400058012914542e-16,-1.7867651802561113e-16,2.293876923334933,2.008439910220935,1.8986716948530429,2.39188226531228,2.1016456390557297,1.746519548856782,1054.2809290088435,986.5082369582832,959.1714257937213,1076.5673235430095,1009.1391145504313,919.9368588227045,1054.0321947774703,985.1724467427395,961.0869433370307,1075.6619482181716,1008.6009394168924,921.9750354534491,2.292794672121765,2.0030045009485717,1.9062627686175089,2.3878608900778326,2.099404616366084,1.7542671647490036,1.9246608083158615e-08,1.4848996416271811e-05,2.0005996151585608,0.9999999975456026,2.9978957243106775e-05,6.232499156001375e-05,1.120948114738534e-05,7.987614648088279e-06,0.002969936354488907,0.11992213467433996,0.012001649982282724,0.024926921117274264,0.004478564775756905
6,0.012,0.0070113963532905865,0.2580256375311994,10.190602298135046,0.012592950937202307,0.024980119409443145,0.00848982502083194,0.007011396353290206,0.2580256375311989,10.190602298135044,0.012592950937202363,0.024980119409443308,0.008489825020831732,0.0012177151694055255,0.2534212771315314,10.193033531171265,0.012091353206905187,0.02494555631762685,0.008892988579604133,-3.8077180297690916e-16,-4.996003610813204e-16,-1.7763568394002505e-15,5.551115123125783e-17,1.6306400674181987e-16,-2.0816681711721685e-16,2.294100988823713,2.009717305742079,1.8969163060446088,2.392786933175744,2.102166867172543,1.7447399287786691,1054.3324187380595,986.8219035237506,958.7279293917117,1076.7708962272634,1009.2642448440007,919.4680534893664,1054.0513183672545,985.2751471389763,960.9396714013574,1075.7315567566395,1008.6423162729407,921.8183330422902,2.292877870458107,2.003422133574803,1.9056786019085676,2.388169947928193,2.099576871895531,1.7536708914821295,4.0881262325561035e-08,2.1383029303727496e-05,2.0008634430275882,0.9999999949103701,4.318613027817931e-05,8.974371121704874e-05,1.613333694816307e-05,1.4016488682272258e-05,0.003564111558880847,0.14390566375783564,0.014413714027376418,0.02991044007536424,0.005368688921682663
7,0.014,0.008179693445754053,0.25892504537597727,10.190101525038918,0.012693229561067242,0.02498492362225023,0.008407276269525251,0.008179693445752229,0.25892504537597594,10.190101525038916,0.012693229561067304,0.024984923622250743,0.008407276269524977,0.001663409077558603,0.25377541894113764,10.192844886938481,0.012129901707047641,0.02494821233344527,0.008862022908651512,-1.824929096727601e-15,-1.3322676295501878e-15,-1.7763568394002505e-15,6.245004513516506e-17,5.134781488891349e-16,-2.740863092043355e-16,2.2943150447864475,2.0109981465402003,1.8951663177084275,2.393679850520697,2.1026876279685536,1.7429700111425404,1054.3816059529531,987.1363160102243,958.285593106332,1076.971787020209,1009.3892474576186,919.0015668734903,1054.0729303832193,985.3940673794076,960.7696246544048,1075.811464944479,1008.6901323970113,921.6376350265809,2.2929718966602413,2.0039057788193553,1.9050042083238516,2.3885247602778588,2.0997759434717165,1.7529834376086086,7.69173374792339e-08,2.9105500750019832e-05,2.0011752375113288,0.9999999905701754,5.880858764712688e-05,0.00012214572717403842,2.1945863072200805e-05,2.245233075135127e-05,0.004158373745638004,0.16788873953743622,0.016832388997832733,0.03489352204678085,0.0062558376304928795
8,0.016,0.00934786640740613,0.25981542113104583,10.189597742323043,0.012793233778347658,0.024989064604531312,0.008324354590056524,0.009347866407403621,0.25981542113104505,10.18959774232304,0.01279323377834779,0.02498906460453182,0.008324354590056315,0.0021647237641897743,0.2541715184879165,10.192631797460582,0.012173191472045514,0.024951033401930084,0.008827099329776933,-2.508410146262463e-15,-7.771561172376096e-16,-3.552713678800501e-15,1.3183898417423734e-16,5.065392549852277e-16,-2.0816681711721685e-16,2.294519074680381,2.0122824147812075,1.8934217721278834,2.394560976379151,2.1032079297286694,1.7412098258317754,1054.428487174701,987.4514693294796,957.8444292399834,1077.1699882078283,1009.5141244270421,918.5374103899779,1054.0966624804837,985.5280177726999,960.5786433002345,1075.9006747137626,1008.7438828983281,921.4349645468309,2.2930751488036147,2.0044506211728903,1.9042469318362223,2.3889209051124642,2.0999997327467494,1.7522125512699391,1.325447336743218e-07,3.80165741617736e-05,2.0015349976454937,0.9999999839115288,7.685343195083589e-05,0.00015953062821157088,2.8643875167248783e-05,3.366927726054831e-05,0.004752710639947696,0.1918713050105988,0.019258645497988156,0.03987621548685449,0.007139600698867894
9,0.018000000000000002,0.010515897510656097,0.2606967337374022,10.189090954195834,0.012892961427118139,0.02499254224636307,0.008241063660647868,0.010515897510655653,0.260696733737401,10.189090954195832,0.012892961427118321,0.024992542246363436,0.008241063660647474,0.002717373778159976,0.25460565563678506,10.192395902401465,0.012220836540478591,0.024953955943223416,0.00878849358733641,-4.440892098500626e-16,-1.2212453270876722e-15,-1.7763568394002505e-15,1.8214596497756474e-16,3.677613769070831e-16,-3.937822290467352e-16,2.294713062341197,2.0135700924477904,1.8916827113907613,2.3954302701701478,2.103727780712481,1.7394594023991088,1054.4730589969363,987.7673583531715,957.404450063967,1077.3654921487098,1009.6388777808985,918.0755953718752,1054.1221743663928,985.6758997041027,960.3684270071994,1075.9982641385632,1008.803101860465,921.212190074789,2.2931861469342296,2.005052215979931,1.9034135593020491,2.3893542982604954,2.1002463036694197,1.751365392101971,2.136909472311445e-07,4.811637834531703e-05,2.0019427223557544,0.9999999742260707,9.732869534317403e-05,0.00020189804504302175,3.622379257443665e-05,4.803092682585137e-05,0.00534710003614594,0.2158533070894876,0.021693373722213413,0.04485855559281383,0.008019596665200055
