step,time,ctrl_drone_1_body_thrust,ctrl_drone_1_x_moment,ctrl_drone_1_y_moment,ctrl_drone_1_z_moment,act_drone_1_body_thrust,act_drone_1_x_moment,act_drone_1_y_moment,act_drone_1_z_moment,actuator_force_drone_1_body_thrust,actuator_force_drone_1_x_moment,actuator_force_drone_1_y_moment,actuator_force_drone_1_z_moment,desired_Fx,desired_Fy,desired_Fz,desired_Tx,desired_Ty,desired_Tz,actual_Fx,actual_Fy,actual_Fz,actual_Tx,actual_Ty,actual_Tz,error_Fx,error_Fy,error_Fz,error_Tx,error_Ty,error_Tz,qpos_x,qpos_y,qpos_z,qpos_qw,qpos_qx,qpos_qy,qpos_qz,qvel_x,qvel_y,qvel_z,qvel_wx,qvel_wy,qvel_wz
0,0.0,5.0,0.0,0.05,0.00848528137417537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.05,0.00848528137417537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,-0.05,-0.00848528137417537,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.003,5.0,0.001055544502632441,0.049989252385871735,0.008737293897703415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.001055544502632441,0.049989252385871735,0.008737293897703415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-0.001055544502632441,-0.049989252385871735,-0.008737293897703415,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.006,5.0,0.002110905237821425,0.04995701416392514,0.008981359731868803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.002110905237821425,0.04995701416392514,0.008981359731868803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-0.002110905237821425,-0.04995701416392514,-0.008981359731868803,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.009000000000000001,5.0,0.003165898470116912,0.04990329919351902,0.009217256895427588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.003165898470116912,0.04990329919351902,0.009217256895427588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-0.003165898470116912,-0.04990329919351902,-0.009217256895427588,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.012,5.0,0.004220340528050118,0.04982813056696439,0.009444770836654454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.004220340528050118,0.04982813056696439,0.009444770836654454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-0.004220340528050118,-0.04982813056696439,-0.009444770836654454,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.015,5.0,0.005274047836110228,0.04973154059959695,0.009663694628480475,0.5653978164142126,0.0,0.005653978164142127,0.0009595119121237887,0.5653978164142126,0.0,0.005653978164142127,0.0009595119121237887,0.0,0.0,5.0,0.005274047836110228,0.04973154059959695,0.009663694628480475,0.0,0.0,0.5653978164142126,0.0,0.005653978164142127,0.0009595119121237887,0.0,0.0,-4.434602183585787,-0.005274047836110228,-0.044077562435454826,-0.008704182716356685,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.018,5.0,0.006326836946704394,0.04961357081588467,0.009873829156696134,1.0668606946672332,0.00011936051138328164,0.010667391611160378,0.0018390201023622927,1.0668606946672332,0.00011936051138328164,0.010667391611160378,0.0018390201023622927,0.0,0.0,5.0,0.006326836946704394,0.04961357081588467,0.009873829156696134,0.0,0.0,1.0668606946672332,0.00011936051138328164,0.010667391611160378,0.0018390201023622927,0.0,0.0,-3.933139305332767,-0.0062074764353211125,-0.03894617920472429,-0.008034809054333842,-1.3016242401041354e-08,0.0,2.0000041036839007,0.9999999999088323,0.0,1.3450149687939886e-05,1.1953566681749207e-06,-4.338747467013785e-06,0.0,0.0013678946335151114,0.0,0.008966766458899083,0.0007969044454741645
7,0.020999999999999998,5.0,0.0073785245720954604,0.04947427193157611,0.010074983301048453,1.511618369644845,0.000344563519307155,0.015110244970974736,0.002646672748484628,1.511618369644845,0.000344563519307155,0.015110244970974736,0.002646672748484628,0.0,0.0,5.0,0.0073785245720954604,0.04947427193157611,0.010074983301048453,0.0,0.0,1.511618369644845,0.000344563519307155,0.015110244970974736,0.002646672748484628,0.0,0.0,-3.488381630355155,-0.007033961052788305,-0.03436402696060137,-0.007428310552563825,-5.0361329367606534e-08,2.746506022165553e-10,2.000015950683898,0.9999999986236894,2.838993169625874e-07,5.225543998674442e-05,4.680761707465383e-06,-1.2448362322188392e-05,9.155020073885177e-08,0.0039489999991548395,0.00018926588263436846,0.025870193322006272,0.002323605906586049
8,0.023999999999999997,5.0,0.008428927616311869,0.04931370383189759,0.010266974109067491,1.9060830409692961,0.0006635988434193422,0.019044628347736303,0.0033896715343341064,1.9060830409692961,0.0006635988434193422,0.019044628347736303,0.0033896715343341064,0.0,0.0,5.0,0.008428927616311869,0.04931370383189759,0.010266974109067491,0.0,0.0,1.9060830409692961,0.0006635988434193422,0.019044628347736303,0.0033896715343341064,0.0,0.0,-3.093916959030704,-0.007765328772892526,-0.03026907548416129,-0.006877302574733384,-1.212860303223699e-07,1.3350024897906466e-09,2.000038769058825,0.9999999918758903,1.3867348930978658e-06,0.00012694468979638788,1.146045525913236e-05,-2.3641566984921123e-05,3.534506291913638e-07,0.0076061249756302,0.0007352206028520711,0.04979283126141756,0.004519820003472573
9,0.026999999999999996,5.0,0.00947786320702417,0.04913193554580822,0.010449626962464143,2.2559418195298684,0.001065793639827272,0.02252561333500303,0.004074379519074736,2.2559418195298684,0.001065793639827272,0.02252561333500303,0.004074379519074736,0.0,0.0,5.0,0.00947786320702417,0.04913193554580822,0.010449626962464143,0.0,0.0,2.2559418195298684,0.001065793639827272,0.02252561333500303,0.004074379519074736,0.0,0.0,-2.7440581804701316,-0.008412069567196898,-0.02660632221080519,-0.006375247443389407,-2.3242694769416352e-07,3.880063927949319e-09,2.0000754218402204,0.9999999692794062,4.06544955415727e-06,0.00024682044525207113,2.245722172289228e-05,-3.704697245726454e-05,8.483538127195574e-07,0.012217593798423704,0.001785795017819909,0.0799171614601861,0.00733129364844572
10,0.029999999999999995,5.0,0.010525148727382598,0.04892904521632401,0.010622775735947887,2.5662387202001424,0.0015416611865261382,0.025602047708788087,0.00470641683069653,2.5662387202001424,0.0015416611865261382,0.025602047708788087,0.00470641683069653,0.0,0.0,5.0,0.010525148727382598,0.04892904521632401,0.010622775735947887,0.0,0.0,2.5662387202001424,0.0015416611865261382,0.025602047708788087,0.00470641683069653,0.0,0.0,-2.4337612797998576,-0.00898348754085646,-0.023326997507535925,-0.0059163589052513565,-3.8715815611895473e-07,8.734325223941947e-09,2.000128448315956,0.999999910976471,9.272819609642688e-06,0.00042009195641218864,3.8520295270073464e-05,-5.1577069474930404e-05,1.6180870986642096e-06,0.01767549191192958,0.0034715311070818923,0.11551431297551867,0.010709103535324775
11,0.032999999999999995,5.0,0.011570601847810181,0.04870512006692387,0.010786262948320023,2.8414473828546023,0.0020827667717187395,0.02831726025549445,0.005290745559822943,2.8414473828546023,0.0020827667717187395,0.02831726025549445,0.005290745559822943,0.0,0.0,5.0,0.011570601847810181,0.04870512006692387,0.010786262948320023,0.0,0.0,2.8414473828546023,0.0020827667717187395,0.02831726025549445,0.005290745559822943,0.0,0.0,-2.1585526171453977,-0.009487835076091442,-0.020387859811429418,-0.00549551738849708,-5.849138608199563e-07,1.676985978822548e-08,2.0002001006454813,0.9999997841560012,1.8134207101319363e-05,0.0006539931496821799,6.043229049206527e-05,-6.591856823366718e-05,2.6785115214278444e-06,0.02388410984168568,0.005907461900332777,0.15593405981387684,0.014609034688240995
12,0.036,5.0,0.01261404055774581,0.04846025636405182,0.010939939905705,3.0855355701244407,0.0026816087510370457,0.030709685896195764,0.005831745074242016,3.0855355701244407,0.0026816087510370457,0.030709685896195764,0.005831745074242016,0.0,0.0,5.0,0.01261404055774581,0.04846025636405182,0.010939939905705,0.0,0.0,3.0855355701244407,0.0026816087510370457,0.030709685896195764,0.005831745074242016,0.0,0.0,-1.9144644298755593,-0.009932431806708764,-0.017750570467856053,-0.0051081948314629835,-8.205263568122423e-07,2.8813183951886186e-08,2.0002923763335416,0.9999995396323966,3.192683508709226e-05,0.0009548872958912716,8.891526267127244e-05,-7.853749866409531e-05,4.0144413878869015e-06,0.030758562686804714,0.00919479047142803,0.2005959525108366,0.018991030033673504
13,0.039,5.0,0.013655283197331801,0.04819455937573161,0.011083666836789541,3.3020223717753048,0.0033315130583695647,0.032813420119671095,0.006333278836559464,3.3020223717753048,0.0033315130583695647,0.032813420119671095,0.006333278836559464,0.0,0.0,5.0,0.013655283197331801,0.04819455937573161,0.011083666836789541,0.0,0.0,3.3020223717753048,0.0033315130583695647,0.032813420119671095,0.006333278836559464,0.0,0.0,-1.6979776282246952,-0.010323770138962237,-0.015381139256060515,-0.004750388000230077,-1.0836070802539493e-06,4.5538007111269126e-08,2.0004070470296527,0.999999108607361,5.206131465646412e-05,0.0013283598805661882,0.00012463599206051322,-8.769357448056901e-05,5.5749410531276465e-06,0.03822356537040359,0.013422388451556919,0.24898145552975215,0.023818702980660005
14,0.042,5.0,0.01469414848904038,0.04790814332631151,0.011217313019946594,3.49402894043899,0.004026539648962862,0.03465871071748301,0.006798753684956913,3.49402894043899,0.004026539648962862,0.03465871071748301,0.006798753684956913,0.0,0.0,5.0,0.01469414848904038,0.04790814332631151,0.011217313019946594,0.0,0.0,3.49402894043899,0.004026539648962862,0.03465871071748301,0.006798753684956913,0.0,0.0,-1.50597105956101,-0.010667608840077518,-0.0132494326088285,-0.004418559334989682,-1.3579867668586924e-06,6.734551944483415e-08,2.0005456840677662,0.9999983996900584,8.006518002308876e-05,0.0017793010117246977,0.00016821057727578467,-9.145989553491439e-05,7.269170777855007e-06,0.046212346037874164,0.018668132691558488,0.30062697642367014,0.029058905899808522
15,0.045000000000000005,5.0,0.015730455569233606,0.04760113134735876,0.011340756902128442,3.6643234901707484,0.004761399525496481,0.036272393910512034,0.007231172428466931,3.6643234901707484,0.004761399525496481,0.036272393910512034,0.007231172428466931,0.0,0.0,5.0,0.015730455569233606,0.04760113134735876,0.011340756902128442,0.0,0.0,3.6643234901707484,0.004761399525496481,0.036272393910512034,0.007231172428466931,0.0,0.0,-1.3356765098292516,-0.010969056043737125,-0.011328737436846724,-0.0041095844736615105,-1.6212224756043323e-06,9.423408560003884e-08,2.0007096811137353,0.9999972962169241,0.00011756821317175623,0.002311978548892726,0.00022020841440732758,-8.774523624854665e-05,8.962855385068232e-06,0.05466568198966591,0.02500009698192751,0.35511768566322194,0.03468134819498164
16,0.04800000000000001,5.0,0.01676402401965125,0.04727365542472472,0.011453886209420882,3.8153612065893916,0.005531381150408231,0.03767828115469426,0.007633180511882893,3.8153612065893916,0.005531381150408231,0.03767828115469426,0.007633180511882893,0.0,0.0,5.0,0.01676402401965125,0.04727365542472472,0.011453886209420882,0.0,0.0,3.8153612065893916,0.005531381150408231,0.03767828115469426,0.007633180511882893,0.0,0.0,-1.1846387934106084,-0.011232642869243017,-0.00959537427003046,-0.003820705697537989,-1.8441735877761296e-06,1.256602406040043e-07,2.00090027424665,0.9999956538884318,0.0001662893623113398,0.0029301030027697236,0.0002811556306920084,-7.431703739059908e-05,1.0475385001321816e-05,0.0635310443049567,0.03247761412981382,0.4120820375123166,0.04065825837391839
17,0.05100000000000001,5.0,0.017794673898821108,0.04692585634180356,0.011556598049157905,3.949319643996177,0.006332285183071081,0.03889750220269485,0.008007107420017734,3.949319643996177,0.006332285183071081,0.03889750220269485,0.008007107420017734,0.0,0.0,5.0,0.017794673898821108,0.04692585634180356,0.011556598049157905,0.0,0.0,3.949319643996177,0.006332285183071081,0.03889750220269485,0.008007107420017734,0.0,0.0,-1.0506803560038231,-0.011462388715750027,-0.008028354139108712,-0.003549490629140171,-1.9906451589405972e-06,1.6039279142881216e-07,2.001118559763292,0.9999932987235869,0.00022802507896967084,0.003636885136025515,0.00035153803452112276,-4.882385705482259e-05,1.1577516941602622e-05,0.0727618388806915,0.04115222220003441,0.4711869125036674,0.0469640851558768
18,0.05400000000000001,5.0,0.018822225773386353,0.04655788361900885,0.011648799003503983,4.068130119802951,0.007160366600444806,0.039948809367637464,0.008355003415280006,4.068130119802951,0.007160366600444806,0.039948809367637464,0.008355003415280006,0.0,0.0,5.0,0.018822225773386353,0.04655788361900885,0.011648799003503983,0.0,0.0,4.068130119802951,0.007160366600444806,0.039948809367637464,0.008355003415280006,0.0,0.0,-0.9318698801970493,-0.011661859172941547,-0.0066090742513713885,-0.003293795588223977,-2.017094660465675e-06,1.9636166538283536e-07,2.001365509962292,0.999990025321878,0.0003046389171302922,0.004435087090337602,0.000431803637135859,-8.816500508359257e-06,1.1989624651341064e-05,0.08231673299990885,0.05106850735232413,0.5321333110779158,0.053575233214736
19,0.057000000000000016,5.0,0.019846500749344378,0.04616989544949405,0.011730405214418895,4.173505558892068,0.008012283366275382,0.040848847375706626,0.00867867213535599,4.173505558892068,0.008012283366275382,0.040848847375706626,0.00867867213535599,0.0,0.0,5.0,0.019846500749344378,0.04616989544949405,0.011730405214418895,0.0,0.0,4.173505558892068,0.008012283366275382,0.040848847375706626,0.00867867213535599,0.0,0.0,-0.8264944411079318,-0.011834217383068996,-0.0053210480737874224,-0.0030517330790629047,-1.8723968028904223e-06,2.3050295020657338e-07,2.0016419871356153,0.999985595415445,0.0003980522545207793,0.00532706777140677,0.0005223647955419778,4.8232619191750866e-05,1.1380428274579337e-05,0.09215905777451538,0.062264854447307325,0.5946525359362547,0.06046982965297243
20,0.06000000000000002,5.0,0.02086732050319176,0.04576205863114452,0.01180134245992776,4.26696518934825,0.008885050908327672,0.04161239269838279,0.008979699518204527,4.26696518934825,0.008885050908327672,0.04161239269838279,0.008979699518204527,0.0,0.0,5.0,0.02086732050319176,0.04576205863114452,0.01180134245992776,0.0,0.0,4.26696518934825,0.008885050908327672,0.04161239269838279,0.008979699518204527,0.0,0.0,-0.7330348106517501,-0.011982269594864089,-0.004149665932761733,-0.0028216429417232333,-1.4976604903143235e-06,2.5860136420572913e-07,2.001948755969312,0.9999797366901619,0.0005102360111778733,0.006314823140939456,0.0006236000209107293,0.00012491210419203298,9.366137999718584e-06,0.10225627789889202,0.0747741154445188,0.6585028077344481,0.06762751774268949
21,0.06300000000000001,5.0,0.021884507312969897,0.04533454849487038,0.01186154622162695,4.3498564456078705,0.009776001746873401,0.04225256581510697,0.009259479468727494,4.3498564456078705,0.009776001746873401,0.04225256581510697,0.009259479468727494,0.0,0.0,5.0,0.021884507312969897,0.04533454849487038,0.01186154622162695,0.0,0.0,4.3498564456078705,0.009776001746873401,0.04225256581510697,0.009259479468727494,0.0,0.0,-0.6501435543921295,-0.012108505566096496,-0.003081982679763416,-0.0026020667528994564,-8.260917934530176e-07,2.7513119330850077e-07,2.002286494532666,0.999972141852361,0.0006432032538880366,0.007400021991237774,0.0007358554919809901,0.00022385623228710194,5.5099430342572045e-06,0.11257952111802054,0.08862420457147713,0.723466265019863,0.07502927486079082
22,0.06600000000000002,5.0,0.02289788408920593,0.04488754882923094,0.01191096174336447,4.423374394809687,0.010682749691923938,0.04278101946695966,0.009519236634611468,4.423374394809687,0.010682749691923938,0.04278101946695966,0.009519236634611468,0.0,0.0,5.0,0.02289788408920593,0.04488754882923094,0.01191096174336447,0.0,0.0,4.423374394809687,0.010682749691923938,0.04278101946695966,0.009519236634611468,0.0,0.0,-0.5766256051903129,-0.012215134397281993,-0.0021065293622712783,-0.002391725108753002,2.171030126653191e-07,2.7309654491169654e-07,2.0026558040146805,0.9999624679173963,0.0007990025871759817,0.008584037713014692,0.0008594463086961809,0.0003477316020394455,-6.782161322680768e-07,0.12310316067144232,0.1038386282967812,0.7893463048744075,0.08265725189208323
23,0.06900000000000002,5.0,0.023907274405743546,0.04442125180142316,0.011949544081041432,4.488578966422312,0.01160315809256685,0.043208105615852005,0.009760046617269409,4.488578966422312,0.01160315809256685,0.043208105615852005,0.009760046617269409,0.0,0.0,5.0,0.023907274405743546,0.04442125180142316,0.011949544081041432,0.0,0.0,4.488578966422312,0.01160315809256685,0.043208105615852005,0.009760046617269409,0.0,0.0,-0.5114210335776876,-0.012304116313176695,-0.001213146185571154,-0.002189497463772023,1.7147799401028232e-06,2.4387160087134497e-07,2.003057217348885,0.9999503356967061,0.0009797122423211922,0.009867976509400531,0.0009946575174589187,0.000499225642479168,-9.741648013450527e-06,0.13380444473487882,0.12043695728554439,0.8559652256564105,0.09049463168157702
24,0.07200000000000002,5.0,0.024912502530458264,0.04393585787466811,0.011977258143489336,4.546410233552937,0.01253531168018608,0.04354302351677581,0.009982853906945668,4.546410233552937,0.01253531168018608,0.04354302351677581,0.009982853906945668,0.0,0.0,5.0,0.024912502530458264,0.04393585787466811,0.011977258143489336,0.0,0.0,4.546410233552937,0.01253531168018608,0.04354302351677581,0.009982853906945668,0.0,0.0,-0.45358976644706317,-0.012377190850272184,-0.00039283435789230076,-0.0019944042365436683,3.7578904248056372e-06,1.77041406178647e-07,2.0034912068515527,0.9999353294611225,0.0011874347855464575,0.011252702457986066,0.001141744935928971,0.0006810368282342713,-2.2276731564232662e-05,0.14466316755586187,0.13843524674518104,0.9231621376053738,0.0985255043899545
25,0.07500000000000002,5.0,0.02591339345585196,0.043431575722030866,0.011994078724385971,4.5977019662523375,0.013477491599160353,0.04379395103841792,0.010188487798351731,4.5977019662523375,0.013477491599160353,0.04379395103841792,0.010188487798351731,0.0,0.0,5.0,0.02591339345585196,0.043431575722030866,0.011994078724385971,0.0,0.0,4.5977019662523375,0.013477491599160353,0.04379395103841792,0.010188487798351731,0.0,0.0,-0.4022980337476625,-0.012435901856691607,0.00036237531638705356,-0.0018055909260342399,6.445489690418658e-06,6.024360598689275e-08,2.003958190984287,0.9999169967596512,0.0014242923751560804,0.012738859777412842,0.0013009358021906787,0.0008958664218710069,-3.893260006391808e-05,0.1556613775780519,0.15784641087669216,0.9907911109488734,0.10673475784803484
26,0.07800000000000003,5.0,0.026909772929521174,0.042908622136711067,0.01199999052518091,4.643193652218069,0.01442815326458993,0.04396816112598822,0.010377676514202374,4.643193652218069,0.01442815326458993,0.04396816112598822,0.010377676514202374,0.0,0.0,5.0,0.026909772929521174,0.042908622136711067,0.01199999052518091,0.0,0.0,4.643193652218069,0.01442815326458993,0.04396816112598822,0.010377676514202374,0.0,0.0,-0.356806347781931,-0.012481619664931243,0.001059538989277152,-0.0016223140109785355,9.884724370308967e-06,-1.2098855926669768e-07,2.004458540339426,0.9998948483746237,0.0016924225051082908,0.014326892614814667,0.0014724292703417294,0.001146411559963436,-6.041072175119681e-05,0.16678311837973192,0.1786805565244725,1.0587195345870406,0.11510798122056547
27,0.08100000000000003,5.0,0.027901467484494003,0.042367221938842514,0.011994988169009754,4.683541158201796,0.015385906727360737,0.04407212508595852,0.010551059738304057,4.683541158201796,0.015385906727360737,0.04407212508595852,0.010551059738304057,0.0,0.0,5.0,0.027901467484494003,0.042367221938842514,0.011994988169009754,0.0,0.0,4.683541158201796,0.015385906727360737,0.04407212508595852,0.010551059738304057,0.0,0.0,-0.3164588417982044,-0.012515560757133266,0.0017049031471160075,-0.0014439284307056974,1.4190802880504288e-05,-3.8338177458337114e-07,2.004992582935595,0.999868358395874,0.001993974179380939,0.016017062634752794,0.0016563967720754573,0.0014353595033984403,-8.746440510555781e-05,0.17801419872291765,0.20094528055991098,1.126826661476942,0.12363138047990946
28,0.08400000000000003,5.0,0.02888830446943021,0.04180760787884194,0.011979076205584466,4.719326185829331,0.016349499263004795,0.04411160418247364,0.010709199737038691,4.719326185829331,0.016349499263004795,0.04411160418247364,0.010709199737038691,0.0,0.0,5.0,0.02888830446943021,0.04180760787884194,0.011979076205584466,0.0,0.0,4.719326185829331,0.016349499263004795,0.04411160418247364,0.010709199737038691,0.0,0.0,-0.28067381417066883,-0.012538805206425415,0.0023039963036316988,-0.0012698764685457747,1.948695152745614e-05,-7.460765274450349e-07,2.0055606089008773,0.9998369643983319,0.0023311044676176266,0.01780946465865546,0.001852982261615551,0.001765382882317285,-0.00012089825095388793,0.18934198842739744,0.22464593503469077,1.195002319541015,0.13229170435892051
29,0.08700000000000004,5.0,0.029870112078679362,0.04123002053734856,0.011952269107055347,4.75106465816068,0.01731779993287799,0.04409173086673842,0.010852591227857268,4.75106465816068,0.01731779993287799,0.04409173086673842,0.010852591227857268,0.0,0.0,5.0,0.029870112078679362,0.04123002053734856,0.011952269107055347,0.0,0.0,4.75106465816068,0.01731779993287799,0.04409173086673842,0.010852591227857268,0.0,0.0,-0.24893534183931987,-0.012552312145801374,0.002861710329389859,-0.0010996778791980792,2.5904358865907874e-05,-1.2307792332697123e-06,2.006162874612342,0.9998000677090968,0.002705975398000866,0.019704040575713275,0.00206230235938917,0.0021391357794839105,-0.00016156756860822576,0.20075523715480856,0.24978586369313385,1.2631457693196866,0.14107617960193564
30,0.09000000000000004,5.0,0.030846719382191738,0.04063470822179735,0.011914591254848408,4.779214157901536,0.018289785894612717,0.04401708081127597,0.010981670135457559,4.779214157901536,0.018289785894612717,0.04401708081127597,0.010981670135457559,0.0,0.0,5.0,0.030846719382191738,0.04063470822179735,0.011914591254848408,0.0,0.0,4.779214157901536,0.018289785894612717,0.04401708081127597,0.010981670135457559,0.0,0.0,-0.22078584209846408,-0.012556933487579022,0.0033823725894786202,-0.0009329211193908494,3.358211039901559e-05,-1.8619125402777748e-06,2.0067996063528923,0.9997570337516141,0.003120751148159985,0.02170059172129083,0.0022844464080681946,0.0025592505110359058,-0.00021037776900268752,0.21224391351688235,0.27636661303400906,1.33116469171308,0.1499724544655295
