step,time,ctrl_drone_1_rotor1,ctrl_drone_1_rotor2,ctrl_drone_1_rotor3,ctrl_drone_1_rotor4,act_drone_1_rotor1,act_drone_1_rotor2,act_drone_1_rotor3,act_drone_1_rotor4,actuator_force_drone_1_rotor1,actuator_force_drone_1_rotor2,actuator_force_drone_1_rotor3,actuator_force_drone_1_rotor4,desired_Fx,desired_Fy,desired_Fz,desired_Tx,desired_Ty,desired_Tz,actual_Fx,actual_Fy,actual_Fz,actual_Tx,actual_Ty,actual_Tz,error_Fx,error_Fy,error_Fz,error_Tx,error_Ty,error_Tz,qpos_x,qpos_y,qpos_z,qpos_qw,qpos_qx,qpos_qy,qpos_qz,qvel_x,qvel_y,qvel_z,qvel_wx,qvel_wy,qvel_wz
0,0.0,1.2664213562362585,0.9835786437637442,1.5164213562362563,1.2335786437637444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.05,0.00848528137417537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,-0.05,-0.00848528137417537,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.003,1.2732872952536258,0.9767664428170169,1.517955834669822,1.2319904272595372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.001055544502632441,0.049989252385871735,0.008737293897703415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-0.001055544502632441,-0.049989252385871735,-0.008737293897703415,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.006,1.2800740565492215,0.9701408726311542,1.5193046011797386,1.2304804696398866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.002110905237821425,0.04995701416392514,0.008981359731868803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-0.002110905237821425,-0.04995701416392514,-0.008981359731868803,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.009000000000000001,1.286777446448622,0.963706057583785,1.520464450065632,1.2290520459019643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.003165898470116912,0.04990329919351902,0.009217256895427588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-0.003165898470116912,-0.04990329919351902,-0.009217256895427588,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.012,1.2933933721802904,0.9574659749848906,1.52143232237486,1.227708330459963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.004220340528050118,0.04982813056696439,0.009444770836654454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-0.004220340528050118,-0.04982813056696439,-0.009444770836654454,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.015,1.299917845232625,0.951424451769391,1.5222053090500578,1.2264523939479273,0.14320637389526125,0.11122264349113473,0.17147626471597163,0.13949253431184538,0.14320637389526125,0.11122264349113473,0.17147626471597163,0.13949253431184538,0.0,0.0,5.0,0.005274047836110228,0.04973154059959695,0.009663694628480475,0.0,0.0,0.565397816414213,2.7755575615628914e-17,0.005653978164142103,0.000959511912123792,0.0,0.0,-4.4346021835857865,-0.005274047836110201,-0.04407756243545485,-0.008704182716356684,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.018,1.306346984605319,0.9455851613152597,1.5227806539512194,1.2252872001282045,0.2709954309567374,0.20909795832107775,0.32373558645562267,0.263031718933796,0.2709954309567374,0.20909795832107775,0.32373558645562267,0.263031718933796,0.0,0.0,5.0,0.006326836946704394,0.04961357081588467,0.009873829156696134,0.0,0.0,1.0668606946672339,0.0001193605113832992,0.010667391611160353,0.001839020102362295,0.0,0.0,-3.933139305332766,-0.006207476435321095,-0.03894617920472432,-0.00803480905433384,-1.3016242401041306e-08,6.389345984260311e-23,2.0000041036839007,0.9999999999088323,6.602340156899921e-20,1.3450149687939834e-05,1.1953566681749245e-06,-4.3387474670137685e-06,2.129781994753437e-20,0.0013678946335151125,4.4015601047337074e-17,0.008966766458899048,0.0007969044454741671
7,0.020999999999999998,1.312677019952107,0.9399516203900138,1.5231557567495084,1.2242156029083717,0.3851016012567865,0.29515635871076296,0.458930008515124,0.3724304011621723,0.3851016012567865,0.29515635871076296,0.458930008515124,0.3724304011621723,0.0,0.0,5.0,0.0073785245720954604,0.04947427193157611,0.010074983301048453,0.0,0.0,1.5116183696448457,0.00034456351930717624,0.015110244970974688,0.0026466727484846277,0.0,0.0,-3.4883816303551543,-0.007033961052788284,-0.034364026960601424,-0.007428310552563825,-5.036132936760638e-08,2.746506022167224e-10,2.000015950683898,0.9999999986236894,2.838993169627612e-07,5.225543998674425e-05,4.680761707465393e-06,-1.2448362322188359e-05,9.155020073888617e-08,0.003948999999154841,0.0001892658826344403,0.0258701933220062,0.002323605906586053
8,0.023999999999999997,1.3189042946121619,0.934527186228352,1.523328175690088,1.2232403434693992,0.48706271205376717,0.37075566669220017,0.5789678595753516,0.46929680264797824,0.48706271205376717,0.37075566669220017,0.5789678595753516,0.46929680264797824,0.0,0.0,5.0,0.008428927616311869,0.04931370383189759,0.010266974109067491,0.0,0.0,1.906083040969297,0.0006635988434193635,0.01904462834773625,0.003389671534334105,0.0,0.0,-3.093916959030703,-0.007765328772892505,-0.030269075484161342,-0.006877302574733386,-1.212860303223695e-07,1.3350024897909385e-09,2.000038769058825,0.9999999918758903,1.3867348930981733e-06,0.00012694468979638745,1.1460455259132376e-05,-2.364156698492104e-05,3.5345062919140534e-07,0.007606124975630202,0.0007352206028521603,0.049792831261417383,0.004519820003472577
9,0.026999999999999996,1.3250252685274433,0.9293150537435175,1.5232956302213616,1.2223640475076794,0.5782422309624405,0.4371006121274795,0.6855413294383188,0.5550576470016308,0.5782422309624405,0.4371006121274795,0.6855413294383188,0.5550576470016308,0.0,0.0,5.0,0.00947786320702417,0.04913193554580822,0.010449626962464143,0.0,0.0,2.2559418195298697,0.0010657936398273116,0.022525613335002956,0.004074379519074734,0.0,0.0,-2.7440581804701303,-0.008412069567196858,-0.026606322210805264,-0.006375247443389409,-2.3242694769416278e-07,3.880063927949743e-09,2.0000754218402204,0.9999999692794062,4.065449554157729e-06,0.00024682044525207027,2.2457221722892296e-05,-3.704697245726442e-05,8.483538127196016e-07,0.01221759379842371,0.0017857950178200098,0.07991716146018583,0.007331293648445722
